id,area,lat,lng
1456,Славянск-на-Кубани,45.25980377,38.12402725
4573,Елань,50.94528961,43.73741531
1813,Ростов (Ярославская область),57.18761063,39.42741013
1194,Борзя,50.39396667,116.52438354
1204,Бердск,54.76309204,83.09584808
1680,Балахна,56.50463867,43.6019516
152,Актау,43.63533783,51.16822052
1052,Боровичи,58.39039612,33.91023254
1429,Каспийск,42.88866425,47.63437271
1695,Навашино,55.54348755,42.20038986
1297,Полевской,56.44282913,60.16425705
1398,Кыштым,55.70786667,60.5390358
4524,Куйбышево (Ростовская область),47.81476974,38.90709686
1651,Сарапул,56.47769928,53.80198669
2086,Дубна,56.74570084,37.19487
1098,Остров,,
1721,Камешково,56.34856415,41.00111771
4999,Белый Яр (Ханты-Мансийский АО),61.26272583,73.25244141
118,Донецк,47.98130798,37.77528381
1692,Кулебаки,55.41407394,42.5154953
1142,Усть-Илимск,58.00360489,102.66385651
180,Петропавловск,54.86680984,69.13349915
1657,Новочебоксарск,56.108284,47.47622299
86,Таджикистан,38.62817383,70.81565094
2667,Атяшево,54.59270859,46.07821655
1062,Апатиты,67.56707764,33.41082001
5032,Тазовский,67.47252655,78.71620178
4974,Бердюжье,55.80553818,68.30890656
1096,Новосокольники,56.34939575,30.16196251
2116,Керчь,45.36016464,36.46684265
6451,Фёдоровское (Ленинградская область),59.66281128,30.53108978
3671,Троицкое (Алтайский край),52.98117065,84.68300629
301,Обнинск,55.104496,36.61016846
2112,Абхазия,43.08427811,41.14315796
2640,Выселки,45.5841217,39.66168213
1737,Суздаль,56.41994858,40.4495163
1870,Людиново,53.86433411,34.43904495
1371,Лангепас,61.25301361,75.17786407
2323,Молодечно,54.31774902,26.87177849
1665,Кирово-Чепецк,58.55309296,50.04560471
3270,Васюринская,45.11778641,39.4208107
1054,Малая Вишера,58.84244919,32.22797012
2009,Приморск (Ленинградская область),60.36538696,28.60812187
2064,Жуковский,55.57793808,38.12507248
1427,Дербент,42.05744171,48.30114365
2115,Евпатория,45.19388962,33.36806107
1580,Кузнецк,53.11603546,46.59395981
1206,Искитим,54.63345337,83.30847168
4957,Звериноголовское,54.46072006,64.85033417
60,Магадан,59.56291962,150.80673218
1976,Амурск,50.23295975,136.90844727
1375,Нижневартовск,60.93113708,76.56860352
197,Щучинск,52.93874741,70.1857605
1633,Елабуга,55.758255,52.07051086
1566,Бузулук,52.78394318,52.25246811
1139,Тайшет,55.93572235,97.99723053
1099,Печоры,65.11975098,57.15851974
1764,Пучеж,56.97358322,43.16866684
1532,Аксай (Ростовская область),47.27144623,39.86741257
1088,Сортавала,61.7064476,30.69810677
2051,Краснознаменск (Московская область),55.6001358,37.03549957
1337,Чайковский,56.77500534,54.13603973
1703,Шахунья,57.67478561,46.60970306
1369,Белоярский,56.75674057,61.39264297
1298,Ревда (Свердловская область),56.80059433,59.91685486
1818,Алексеевка,50.62783051,38.68877411
3935,Ворсино (Калужская область),55.22553635,36.65172195
1238,Междуреченск,53.69073105,88.07415771
1514,Жирновск,50.96352005,44.78739166
1782,Шарья,58.36430359,45.51090622
2686,Излучинск,60.95143509,76.8835907
1734,Собинка,55.99340439,40.01839066
1191,Черногорск,53.82823563,91.31320953
1865,Жуков,55.0319519,36.7462616
2095,Троицк (Московская область),55.47637558,37.29719543
193,Уральск,51.20407104,51.37078476
1510,Харабали,47.41764069,47.23875046
37,Испания,40.3901062,-3.55436707
1350,Белебей,54.10348511,54.11129761
2063,Бронницы,55.42609024,38.26406097
1447,Ейск,46.71152878,38.26543045
1860,Балабаново,55.17811584,36.66059113
1295,Новоуральск,57.25915909,60.11002731
3665,Тамань,45.21591949,36.71905136
2052,Кубинка,55.57538605,36.69499588
2311,Борисов,54.22934723,28.50340462
1097,Опочка,56.71444321,28.66284752
1833,Клинцы,52.75357437,32.23407364
1277,Ирбит,57.67248917,63.07077408
1492,Минеральные Воды,44.20325851,43.13638687
2229,Мексика,23.93359184,-102.50969696
1302,Среднеуральск,56.99234772,60.4740181
1285,Красноуфимск,56.6195755,57.76975632
1093,Дно,57.82566833,29.96324921
34,Магас,43.16661072,44.80659103
1091,Великие Луки,56.33926773,30.53225136
1354,Давлеканово,54.21426773,55.01477814
1389,Еманжелинск,54.76076126,61.33372879
2039,Люберцы,55.68134689,37.89608002
2828,Кобулети,41.8105011,41.78000259
2634,Нахабино,55.84634018,37.1946106
1134,Киренск,57.78889084,108.11439514
1437,Назрань,43.22254944,44.77285385
2652,Крыловская станица (Крыловский район),46.32184982,39.97050095
1265,Асбест,57.01182175,61.46046066
10,Горно-Алтайск,51.95866013,85.96019745
1979,Комсомольск-на-Амуре,50.54402161,136.98382568
1178,Ленск,60.72050476,114.92481995
1896,Усмань,52.04336929,39.7349205
176,Кокшетау,53.28520584,69.38146973
1439,Абинск,44.86603165,38.15073013
2027,Зарайск,54.75846863,38.88228607
2038,Котельники,55.66072845,37.86545944
1847,Борисоглебск,51.37716293,42.09730148
5025,Заполярный (Ямало-Ненецкий АО),66.45259857,73.86419678
171,Капчагай,43.86494827,77.05334473
2012,Сертолово,60.14716339,30.20092201
1459,Тихорецк,45.85484695,40.1256218
1789,Вышний Волочек,57.58900452,34.56071472
188,Талдыкорган,45.01641464,78.37918091
1246,Таштагол,52.75883865,87.84963226
31,Биробиджан,48.79655075,132.91680908
1996,Кингисепп,59.37100983,28.61561584
2032,Клин,56.33171844,36.72921371
1370,Когалым,62.26528931,74.48635864
1997,Кириши,59.45251465,32.03498459
1854,Павловск (Воронежская область),50.45900726,40.13993454
2119,Феодосия,45.04888916,35.37916946
1165,Ужур,55.3116951,89.82022858
1162,Минусинск,53.71409988,91.71269989
108,Швейцария,46.80123901,8.23096561
1893,Елец,52.61778641,38.50482941
100,Финляндия,63.24677658,25.9209156
1998,Кировск (Ленинградская область),59.8731041,30.98630714
2074,Солнечногорск,56.18638229,36.9793663
1440,Анапа,44.89468002,37.31814957
1286,Кушва,58.28078842,59.76280594
2672,Юргамыш,55.37218094,64.46125031
1686,Выкса,55.31893539,42.18039322
2688,Уренгой,65.9642334,78.36798096
1412,Южноуральск,54.44246674,61.26823425
1214,Черепаново,54.22180557,83.37896729
1100,Порхов,57.76115799,29.56071663
1391,Карабаш (Челябинская область),55.47812271,60.20339584
4275,Новоорск,51.38114929,58.9852562
1958,Уссурийск,43.81162262,131.95030212
6073,Майна (Ульяновская область),54.11714935,47.61359024
5300,Крым (Ростовская область),47.74139786,41.31015778
1227,Славгород (Алтайский край),53.00631332,78.63040161
1673,Орлов,58.53300095,48.90000153
3056,Кольцово (Новосибирская область),54.93781662,83.17829895
2301,Лида,53.89007187,25.29816818
1163,Назарово,56.01134491,90.41659546
2751,Оболенск,54.97967911,37.22893906
1289,Невьянск,57.49082184,60.21172714
101,Франция,46.62480545,2.45837402
1284,Красноуральск,58.35754013,60.03503418
4571,Городище,49.28914261,31.44530869
4102,Белоярский (Свердловская область),56.75674057,61.39264297
1928,Узловая,53.97621918,38.15827179
2647,Новая Усмань,51.64848328,39.42006683
2786,Джизак,40.13317871,67.82341003
2085,Долгопрудный,55.93353653,37.51530457
1409,Троицк (Челябинская область),54.08218002,61.55836868
4492,Александровка (Ростовская область),46.78923416,38.9872818
1920,Ефремов,53.14571762,38.11456299
2028,Истра,55.91498947,36.85813141
1011,Котлас,61.24906921,46.63502121
1822,Губкин,51.28348923,37.53554916
1278,Каменск-Уральский,56.41560364,61.91898727
2265,Полоцк,55.48397446,28.78633499
3317,Голубицкая,45.32007599,37.27854156
1986,Нарьян-Мар,67.63799286,53.00686264
2959,Ува,56.98244476,52.19241333
1145,Шелехов,52.21025085,104.09736633
1517,Котельниково,47.62591934,43.14722443
5414,Виллози,59.69715881,30.10390854
2037,Луховицы,54.96522522,39.02615738
1025,Гусев,54.59030533,22.19971657
1892,Данков,53.24651337,39.14767838
3725,Зубова-Поляна,54.07472229,42.83094406
1109,Дорогобуж,54.90997314,33.28086853
1910,Моршанск,53.4481926,41.8106842
2490,Пушкин,59.72184372,30.4162159
185,Семей,50.40437698,80.24966431
2097,Электрогорск,55.88088989,38.78443909
199,Чехия,49.73923874,15.3317976
1241,Осинники,53.6072731,87.33197784
1846,Богучар,49.93368149,40.5581665
1417,Муравленко,63.79479599,74.49693298
1445,Горячий Ключ,44.63299942,39.13299942
2522,Красное Село,59.73300171,30.09041595
4596,Уват (Тюменская область),59.14265823,68.89477539
3856,Тербуны,52.13435364,38.28627396
3809,Нижнедевицк,51.54261398,38.36445618
150,Аксай (Казахстан),51.17389297,53.01147842
1663,Вятские Поляны,56.22369003,51.07531357
4087,Теплое,53.61873627,37.59485245
1570,Новотроицк (Оренбургская область),51.21138,58.29955673
1462,Хадыженск,44.42523193,39.53482056
1136,Саянск,54.11000061,102.17198944
1803,Торжок,57.0408783,34.95896912
5781,Бердяуш,55.16284943,59.13614273
3075,Раевский (Альшеевский район),54.06686783,54.94453812
2326,Слуцк,53.0267868,27.55235863
1388,Верхний Уфалей,56.05577087,60.23079681
6669,Песчаное,52.99943161,76.30432129
4818,Кош-Агач,49.99518585,88.66588593
1129,Бодайбо,57.85093307,114.1917038
3720,Петропавловка (Воронежская область),50.08159637,40.88159561
2689,Новотитаровская,45.23641968,38.97108841
198,Экибастуз,51.72758102,75.32884979
1950,Артем,43.35577393,132.19137573
1050,Ухта,63.56206894,53.68460083
1282,Кировград,57.43151093,60.05493546
2250,Малорита,51.79222488,24.08344269
1047,Печора,65.11975098,57.15851974
183,Риддер (ВКО),50.33893204,83.50615692
2664,Павловск (Ленинградская область),59.68206787,30.46378326
5369,Синдор,62.80997849,51.98516464
1826,Строитель (Белгородская область),50.7879982,36.48697662
2790,Навои,40.1034584,65.37342072
5170,Икряное,46.09291077,47.72956085
1393,Касли,55.89001846,60.76431656
6007,Телеханы,52.51528168,25.84177971
1407,Снежинск,56.085186,60.7351532
1222,Заринск,53.70389938,84.92602539
2441,Монино,55.84414673,38.19919586
238,Малайзия,3.60245395,114.70446777
1718,Вязники,56.24498749,42.13394547
4780,Шушенское,53.33014679,91.94764709
6368,Большие Вязёмы,55.62961197,37.00471878
1805,Удомля,57.86471558,35.01876831
2006,Отрадное (Ленинградская область),59.76281357,30.77301025
1540,Каменск-Шахтинский,48.32780075,40.27056503
2013,Сланцы,59.11237335,28.08800125
27,Германия,51.09198761,10.38080883
6431,Глубокое (Восточно-Казахстанская область),50.14382935,82.31694794
2805,Красная Поляна,43.68011856,40.20458984
